RevisionNumber,ISO3,CTSCode,Year,RevisionDate,Notes
87,JAM,ECCS,1961,2026-04-01,synthetic revision
88,JPN,ECCS,1961,2026-04-01,synthetic revision
89,JOR,ECCS,1961,2026-04-01,synthetic revision
90,KEN,ECCS,1961,2026-04-01,synthetic revision
91,KIR,ECCS,1961,2026-04-01,synthetic revision
92,PRK,ECCS,1961,2026-04-01,synthetic revision
93,KOR,ECCS,1961,2026-04-01,synthetic revision
94,KWT,ECCS,1961,2026-04-01,synthetic revision
95,LAO,ECCS,1961,2026-04-01,synthetic revision
96,LBN,ECCS,1961,2026-04-01,synthetic revision
97,LSO,ECCS,1961,2026-04-01,synthetic revision
98,LBR,ECCS,1961,2026-04-01,synthetic revision
99,LBY,ECCS,1961,2026-04-01,synthetic revision
100,LIE,ECCS,1961,2026-04-01,synthetic revision
101,MDG,ECCS,1961,2026-04-01,synthetic revision
102,MWI,ECCS,1961,2026-04-01,synthetic revision
103,MYS,ECCS,1961,2026-04-01,synthetic revision
104,MLI,ECCS,1961,2026-04-01,synthetic revision
105,MLT,ECCS,1961,2026-04-01,synthetic revision
106,MTQ,ECCS,1961,2026-04-01,synthetic revision
107,MRT,ECCS,1961,2026-04-01,synthetic revision
108,MUS,ECCS,1961,2026-04-01,synthetic revision
109,MYT,ECCS,1961,2026-04-01,synthetic revision
110,MEX,ECCS,1961,2026-04-01,synthetic revision
111,MCO,ECCS,1961,2026-04-01,synthetic revision
112,MNG,ECCS,1961,2026-04-01,synthetic revision
113,MSR,ECCS,1961,2026-04-01,synthetic revision
114,MAR,ECCS,1961,2026-04-01,synthetic revision
115,MOZ,ECCS,1961,2026-04-01,synthetic revision
116,MMR,ECCS,1961,2026-04-01,synthetic revision
117,NRU,ECCS,1961,2026-04-01,synthetic revision
118,NPL,ECCS,1961,2026-04-01,synthetic revision
119,NLD,ECCS,1961,2026-04-01,synthetic revision
120,NCL,ECCS,1961,2026-04-01,synthetic revision
121,NZL,ECCS,1961,2026-04-01,synthetic revision
122,NIC,ECCS,1961,2026-04-01,synthetic revision
123,NER,ECCS,1961,2026-04-01,synthetic revision
124,NGA,ECCS,1961,2026-04-01,synthetic revision
125,NIU,ECCS,1961,2026-04-01,synthetic revision
126,NFK,ECCS,1961,2026-04-01,synthetic revision
127,NOR,ECCS,1961,2026-04-01,synthetic revision
128,OMN,ECCS,1961,2026-04-01,synthetic revision
129,PAK,ECCS,1961,2026-04-01,synthetic revision
130,PNG,ECCS,1961,2026-04-01,synthetic revision
131,PRY,ECCS,1961,2026-04-01,synthetic revision
132,PER,ECCS,1961,2026-04-01,synthetic revision
133,PHL,ECCS,1961,2026-04-01,synthetic revision
134,PCN,ECCS,1961,2026-04-01,synthetic revision
135,POL,ECCS,1961,2026-04-01,synthetic revision
136,PRT,ECCS,1961,2026-04-01,synthetic revision
137,PRI,ECCS,1961,2026-04-01,synthetic revision
138,QAT,ECCS,1961,2026-04-01,synthetic revision
139,ROU,ECCS,1961,2026-04-01,synthetic revision
140,RWA,ECCS,1961,2026-04-01,synthetic revision
141,SPM,ECCS,1961,2026-04-01,synthetic revision
142,WSM,ECCS,1961,2026-04-01,synthetic revision
143,SMR,ECCS,1961,2026-04-01,synthetic revision
144,STP,ECCS,1961,2026-04-01,synthetic revision
145,SAU,ECCS,1961,2026-04-01,synthetic revision
146,SEN,ECCS,1961,2026-04-01,synthetic revision
147,SYC,ECCS,1961,2026-04-01,synthetic revision
148,SLE,ECCS,1961,2026-04-01,synthetic revision
149,SLB,ECCS,1961,2026-04-01,synthetic revision
150,SOM,ECCS,1961,2026-04-01,synthetic revision
151,ZAF,ECCS,1961,2026-04-01,synthetic revision
152,ESP,ECCS,1961,2026-04-01,synthetic revision
153,LKA,ECCS,1961,2026-04-01,synthetic revision
154,KNA,ECCS,1961,2026-04-01,synthetic revision
155,LCA,ECCS,1961,2026-04-01,synthetic revision
156,VCT,ECCS,1961,2026-04-01,synthetic revision
157,SUR,ECCS,1961,2026-04-01,synthetic revision
158,SJM,ECCS,1961,2026-04-01,synthetic revision
159,SWE,ECCS,1961,2026-04-01,synthetic revision
160,CHE,ECCS,1961,2026-04-01,synthetic revision
161,SYR,ECCS,1961,2026-04-01,synthetic revision
162,TWN,ECCS,1961,2026-04-01,synthetic revision
163,TZA,ECCS,1961,2026-04-01,synthetic revision
164,THA,ECCS,1961,2026-04-01,synthetic revision
165,TLS,ECCS,1961,2026-04-01,synthetic revision
166,TGO,ECCS,1961,2026-04-01,synthetic revision
167,TKL,ECCS,1961,2026-04-01,synthetic revision
168,TON,ECCS,1961,2026-04-01,synthetic revision
169,TTO,ECCS,1961,2026-04-01,synthetic revision
170,TUN,ECCS,1961,2026-04-01,synthetic revision
171,TCA,ECCS,1961,2026-04-01,synthetic revision
172,TUV,ECCS,1961,2026-04-01,synthetic revision
173,UGA,ECCS,1961,2026-04-01,synthetic revision
174,ARE,ECCS,1961,2026-04-01,synthetic revision
175,GBR,ECCS,1961,2026-04-01,synthetic revision
176,USA,ECCS,1961,2026-04-01,synthetic revision
177,VIR,ECCS,1961,2026-04-01,synthetic revision
178,URY,ECCS,1961,2026-04-01,synthetic revision
179,VUT,ECCS,1961,2026-04-01,synthetic revision
180,VEN,ECCS,1961,2026-04-01,synthetic revision
181,VNM,ECCS,1961,2026-04-01,synthetic revision
182,WLF,ECCS,1961,2026-04-01,synthetic revision
183,PSE,ECCS,1961,2026-04-01,synthetic revision
184,ESH,ECCS,1961,2026-04-01,synthetic revision
185,YEM,ECCS,1961,2026-04-01,synthetic revision
186,ZMB,ECCS,1961,2026-04-01,synthetic revision
187,ZWE,ECCS,1961,2026-04-01,synthetic revision
188,AFG,ECCS,1962,2026-04-01,synthetic revision
189,ALB,ECCS,1962,2026-04-01,synthetic revision
190,DZA,ECCS,1962,2026-04-01,synthetic revision
191,ASM,ECCS,1962,2026-04-01,synthetic revision
192,AND,ECCS,1962,2026-04-01,synthetic revision
193,AGO,ECCS,1962,2026-04-01,synthetic revision
194,AIA,ECCS,1962,2026-04-01,synthetic revision
195,ATG,ECCS,1962,2026-04-01,synthetic revision
196,ARG,ECCS,1962,2026-04-01,synthetic revision
197,ABW,ECCS,1962,2026-04-01,synthetic revision
198,AUS,ECCS,1962,2026-04-01,synthetic revision
199,AUT,ECCS,1962,2026-04-01,synthetic revision
200,BHS,ECCS,1962,2026-04-01,synthetic revision
201,BHR,ECCS,1962,2026-04-01,synthetic revision
202,BGD,ECCS,1962,2026-04-01,synthetic revision
203,BRB,ECCS,1962,2026-04-01,synthetic revision
204,BLZ,ECCS,1962,2026-04-01,synthetic revision
205,BEN,ECCS,1962,2026-04-01,synthetic revision
206,BTN,ECCS,1962,2026-04-01,synthetic revision
207,BOL,ECCS,1962,2026-04-01,synthetic revision
208,BWA,ECCS,1962,2026-04-01,synthetic revision
209,BRA,ECCS,1962,2026-04-01,synthetic revision
210,VGB,ECCS,1962,2026-04-01,synthetic revision
211,BRN,ECCS,1962,2026-04-01,synthetic revision
212,BGR,ECCS,1962,2026-04-01,synthetic revision
213,BFA,ECCS,1962,2026-04-01,synthetic revision
214,BDI,ECCS,1962,2026-04-01,synthetic revision
215,CPV,ECCS,1962,2026-04-01,synthetic revision
216,KHM,ECCS,1962,2026-04-01,synthetic revision
217,CMR,ECCS,1962,2026-04-01,synthetic revision
218,CAN,ECCS,1962,2026-04-01,synthetic revision
219,CYM,ECCS,1962,2026-04-01,synthetic revision
220,CAF,ECCS,1962,2026-04-01,synthetic revision
221,TCD,ECCS,1962,2026-04-01,synthetic revision
222,CHL,ECCS,1962,2026-04-01,synthetic revision
223,HKG,ECCS,1962,2026-04-01,synthetic revision
224,MAC,ECCS,1962,2026-04-01,synthetic revision
225,CHN,ECCS,1962,2026-04-01,synthetic revision
226,COL,ECCS,1962,2026-04-01,synthetic revision
227,COM,ECCS,1962,2026-04-01,synthetic revision
228,COD,ECCS,1962,2026-04-01,synthetic revision
229,COG,ECCS,1962,2026-04-01,synthetic revision
230,COK,ECCS,1962,2026-04-01,synthetic revision
231,CRI,ECCS,1962,2026-04-01,synthetic revision
232,CUB,ECCS,1962,2026-04-01,synthetic revision
233,CYP,ECCS,1962,2026-04-01,synthetic revision
234,DNK,ECCS,1962,2026-04-01,synthetic revision
235,DJI,ECCS,1962,2026-04-01,synthetic revision
236,DMA,ECCS,1962,2026-04-01,synthetic revision
237,DOM,ECCS,1962,2026-04-01,synthetic revision
238,ECU,ECCS,1962,2026-04-01,synthetic revision
239,EGY,ECCS,1962,2026-04-01,synthetic revision
240,SLV,ECCS,1962,2026-04-01,synthetic revision
241,GNQ,ECCS,1962,2026-04-01,synthetic revision
242,SWZ,ECCS,1962,2026-04-01,synthetic revision
243,FLK,ECCS,1962,2026-04-01,synthetic revision
244,FRO,ECCS,1962,2026-04-01,synthetic revision
245,FJI,ECCS,1962,2026-04-01,synthetic revision
246,FIN,ECCS,1962,2026-04-01,synthetic revision
247,FRA,ECCS,1962,2026-04-01,synthetic revision
248,PYF,ECCS,1962,2026-04-01,synthetic revision
249,GAB,ECCS,1962,2026-04-01,synthetic revision
250,GMB,ECCS,1962,2026-04-01,synthetic revision
251,DEU,ECCS,1962,2026-04-01,synthetic revision
252,GHA,ECCS,1962,2026-04-01,synthetic revision
253,GIB,ECCS,1962,2026-04-01,synthetic revision
254,GRC,ECCS,1962,2026-04-01,synthetic revision
255,GRL,ECCS,1962,2026-04-01,synthetic revision
256,GRD,ECCS,1962,2026-04-01,synthetic revision
257,GLP,ECCS,1962,2026-04-01,synthetic revision
258,GTM,ECCS,1962,2026-04-01,synthetic revision
259,GUF,ECCS,1962,2026-04-01,synthetic revision
260,GIN,ECCS,1962,2026-04-01,synthetic revision
261,GNB,ECCS,1962,2026-04-01,synthetic revision
262,GUY,ECCS,1962,2026-04-01,synthetic revision
263,HTI,ECCS,1962,2026-04-01,synthetic revision
264,VAT,ECCS,1962,2026-04-01,synthetic revision
265,HND,ECCS,1962,2026-04-01,synthetic revision
266,HUN,ECCS,1962,2026-04-01,synthetic revision
267,ISL,ECCS,1962,2026-04-01,synthetic revision
268,IND,ECCS,1962,2026-04-01,synthetic revision
269,IDN,ECCS,1962,2026-04-01,synthetic revision
270,IRN,ECCS,1962,2026-04-01,synthetic revision
271,IRQ,ECCS,1962,2026-04-01,synthetic revision
272,IRL,ECCS,1962,2026-04-01,synthetic revision
273,IMN,ECCS,1962,2026-04-01,synthetic revision
274,ISR,ECCS,1962,2026-04-01,synthetic revision
275,ITA,ECCS,1962,2026-04-01,synthetic revision
276,JAM,ECCS,1962,2026-04-01,synthetic revision
277,JPN,ECCS,1962,2026-04-01,synthetic revision
278,JOR,ECCS,1962,2026-04-01,synthetic revision
279,KEN,ECCS,1962,2026-04-01,synthetic revision
280,KIR,ECCS,1962,2026-04-01,synthetic revision
281,PRK,ECCS,1962,2026-04-01,synthetic revision
282,KOR,ECCS,1962,2026-04-01,synthetic revision
283,KWT,ECCS,1962,2026-04-01,synthetic revision
284,LAO,ECCS,1962,2026-04-01,synthetic revision
285,LBN,ECCS,1962,2026-04-01,synthetic revision
286,LSO,ECCS,1962,2026-04-01,synthetic revision
287,LBR,ECCS,1962,2026-04-01,synthetic revision
288,LBY,ECCS,1962,2026-04-01,synthetic revision
289,LIE,ECCS,1962,2026-04-01,synthetic revision
290,MDG,ECCS,1962,2026-04-01,synthetic revision
291,MWI,ECCS,1962,2026-04-01,synthetic revision
292,MYS,ECCS,1962,2026-04-01,synthetic revision
293,MDV,ECCS,1962,2026-04-01,synthetic revision
294,MLI,ECCS,1962,2026-04-01,synthetic revision
295,MLT,ECCS,1962,2026-04-01,synthetic revision
296,MTQ,ECCS,1962,2026-04-01,synthetic revision
297,MRT,ECCS,1962,2026-04-01,synthetic revision
298,MUS,ECCS,1962,2026-04-01,synthetic revision
299,MYT,ECCS,1962,2026-04-01,synthetic revision
300,MEX,ECCS,1962,2026-04-01,synthetic revision
301,MCO,ECCS,1962,2026-04-01,synthetic revision
302,MNG,ECCS,1962,2026-04-01,synthetic revision
303,MSR,ECCS,1962,2026-04-01,synthetic revision
304,MAR,ECCS,1962,2026-04-01,synthetic revision
305,MOZ,ECCS,1962,2026-04-01,synthetic revision
306,MMR,ECCS,1962,2026-04-01,synthetic revision
307,NPL,ECCS,1962,2026-04-01,synthetic revision
308,NLD,ECCS,1962,2026-04-01,synthetic revision
309,NCL,ECCS,1962,2026-04-01,synthetic revision
310,NZL,ECCS,1962,2026-04-01,synthetic revision
311,NIC,ECCS,1962,2026-04-01,synthetic revision
312,NER,ECCS,1962,2026-04-01,synthetic revision
313,NGA,ECCS,1962,2026-04-01,synthetic revision
314,NIU,ECCS,1962,2026-04-01,synthetic revision
315,NFK,ECCS,1962,2026-04-01,synthetic revision
316,NOR,ECCS,1962,2026-04-01,synthetic revision
317,OMN,ECCS,1962,2026-04-01,synthetic revision
318,PAK,ECCS,1962,2026-04-01,synthetic revision
319,PNG,ECCS,1962,2026-04-01,synthetic revision
320,PRY,ECCS,1962,2026-04-01,synthetic revision
321,PER,ECCS,1962,2026-04-01,synthetic revision
322,PHL,ECCS,1962,2026-04-01,synthetic revision
323,PCN,ECCS,1962,2026-04-01,synthetic revision
324,POL,ECCS,1962,2026-04-01,synthetic revision
325,PRT,ECCS,1962,2026-04-01,synthetic revision
326,PRI,ECCS,1962,2026-04-01,synthetic revision
327,QAT,ECCS,1962,2026-04-01,synthetic revision
328,ROU,ECCS,1962,2026-04-01,synthetic revision
329,RWA,ECCS,1962,2026-04-01,synthetic revision
330,SPM,ECCS,1962,2026-04-01,synthetic revision
331,WSM,ECCS,1962,2026-04-01,synthetic revision
332,SMR,ECCS,1962,2026-04-01,synthetic revision
333,STP,ECCS,1962,2026-04-01,synthetic revision
334,SAU,ECCS,1962,2026-04-01,synthetic revision
335,SEN,ECCS,1962,2026-04-01,synthetic revision
336,SYC,ECCS,1962,2026-04-01,synthetic revision
337,SLE,ECCS,1962,2026-04-01,synthetic revision
338,SLB,ECCS,1962,2026-04-01,synthetic revision
339,SOM,ECCS,1962,2026-04-01,synthetic revision
340,ZAF,ECCS,1962,2026-04-01,synthetic revision
341,ESP,ECCS,1962,2026-04-01,synthetic revision
342,LKA,ECCS,1962,2026-04-01,synthetic revision
343,KNA,ECCS,1962,2026-04-01,synthetic revision
344,LCA,ECCS,1962,2026-04-01,synthetic revision
345,VCT,ECCS,1962,2026-04-01,synthetic revision
346,SUR,ECCS,1962,2026-04-01,synthetic revision
347,SJM,ECCS,1962,2026-04-01,synthetic revision
348,SWE,ECCS,1962,2026-04-01,synthetic revision
349,CHE,ECCS,1962,2026-04-01,synthetic revision
350,SYR,ECCS,1962,2026-04-01,synthetic revision
351,TWN,ECCS,1962,2026-04-01,synthetic revision
352,TZA,ECCS,1962,2026-04-01,synthetic revision
353,THA,ECCS,1962,2026-04-01,synthetic revision
354,TLS,ECCS,1962,2026-04-01,synthetic revision
355,TGO,ECCS,1962,2026-04-01,synthetic revision
356,TKL,ECCS,1962,2026-04-01,synthetic revision
357,TON,ECCS,1962,2026-04-01,synthetic revision
358,TTO,ECCS,1962,2026-04-01,synthetic revision
359,TUN,ECCS,1962,2026-04-01,synthetic revision
360,TCA,ECCS,1962,2026-04-01,synthetic revision
361,TUV,ECCS,1962,2026-04-01,synthetic revision
362,UGA,ECCS,1962,2026-04-01,synthetic revision
363,ARE,ECCS,1962,2026-04-01,synthetic revision
364,GBR,ECCS,1962,2026-04-01,synthetic revision
365,USA,ECCS,1962,2026-04-01,synthetic revision
366,VIR,ECCS,1962,2026-04-01,synthetic revision
367,URY,ECCS,1962,2026-04-01,synthetic revision
368,VUT,ECCS,1962,2026-04-01,synthetic revision
369,VEN,ECCS,1962,2026-04-01,synthetic revision
370,VNM,ECCS,1962,2026-04-01,synthetic revision
371,WLF,ECCS,1962,2026-04-01,synthetic revision
372,PSE,ECCS,1962,2026-04-01,synthetic revision
373,ESH,ECCS,1962,2026-04-01,synthetic revision
374,YEM,ECCS,1962,2026-04-01,synthetic revision
375,ZMB,ECCS,1962,2026-04-01,synthetic revision
376,ZWE,ECCS,1962,2026-04-01,synthetic revision
377,AFG,ECCS,1963,2026-04-01,synthetic revision
378,ALB,ECCS,1963,2026-04-01,synthetic revision
379,DZA,ECCS,1963,2026-04-01,synthetic revision
380,ASM,ECCS,1963,2026-04-01,synthetic revision
381,AND,ECCS,1963,2026-04-01,synthetic revision
382,AGO,ECCS,1963,2026-04-01,synthetic revision
383,AIA,ECCS,1963,2026-04-01,synthetic revision
384,ATG,ECCS,1963,2026-04-01,synthetic revision
385,ARG,ECCS,1963,2026-04-01,synthetic revision
386,ABW,ECCS,1963,2026-04-01,synthetic revision
387,AUS,ECCS,1963,2026-04-01,synthetic revision
388,AUT,ECCS,1963,2026-04-01,synthetic revision
389,BHS,ECCS,1963,2026-04-01,synthetic revision
390,BHR,ECCS,1963,2026-04-01,synthetic revision
391,BGD,ECCS,1963,2026-04-01,synthetic revision
392,BRB,ECCS,1963,2026-04-01,synthetic revision
393,BLZ,ECCS,1963,2026-04-01,synthetic revision
394,BEN,ECCS,1963,2026-04-01,synthetic revision
395,BTN,ECCS,1963,2026-04-01,synthetic revision
396,BOL,ECCS,1963,2026-04-01,synthetic revision
397,BWA,ECCS,1963,2026-04-01,synthetic revision
398,BRA,ECCS,1963,2026-04-01,synthetic revision
399,VGB,ECCS,1963,2026-04-01,synthetic revision
400,BRN,ECCS,1963,2026-04-01,synthetic revision
401,BGR,ECCS,1963,2026-04-01,synthetic revision
402,BFA,ECCS,1963,2026-04-01,synthetic revision
403,BDI,ECCS,1963,2026-04-01,synthetic revision
404,CPV,ECCS,1963,2026-04-01,synthetic revision
405,KHM,ECCS,1963,2026-04-01,synthetic revision
406,CMR,ECCS,1963,2026-04-01,synthetic revision
407,CAN,ECCS,1963,2026-04-01,synthetic revision
408,CYM,ECCS,1963,2026-04-01,synthetic revision
409,CAF,ECCS,1963,2026-04-01,synthetic revision
410,TCD,ECCS,1963,2026-04-01,synthetic revision
411,CHL,ECCS,1963,2026-04-01,synthetic revision
412,HKG,ECCS,1963,2026-04-01,synthetic revision
413,MAC,ECCS,1963,2026-04-01,synthetic revision
414,CHN,ECCS,1963,2026-04-01,synthetic revision
415,COL,ECCS,1963,2026-04-01,synthetic revision
416,COM,ECCS,1963,2026-04-01,synthetic revision
417,COD,ECCS,1963,2026-04-01,synthetic revision
418,COG,ECCS,1963,2026-04-01,synthetic revision
419,COK,ECCS,1963,2026-04-01,synthetic revision
420,CRI,ECCS,1963,2026-04-01,synthetic revision
421,CUB,ECCS,1963,2026-04-01,synthetic revision
422,CYP,ECCS,1963,2026-04-01,synthetic revision
423,DNK,ECCS,1963,2026-04-01,synthetic revision
424,DJI,ECCS,1963,2026-04-01,synthetic revision
425,DMA,ECCS,1963,2026-04-01,synthetic revision
426,DOM,ECCS,1963,2026-04-01,synthetic revision
427,ECU,ECCS,1963,2026-04-01,synthetic revision
428,EGY,ECCS,1963,2026-04-01,synthetic revision
429,SLV,ECCS,1963,2026-04-01,synthetic revision
430,GNQ,ECCS,1963,2026-04-01,synthetic revision
431,SWZ,ECCS,1963,2026-04-01,synthetic revision
432,FLK,ECCS,1963,2026-04-01,synthetic revision
433,FRO,ECCS,1963,2026-04-01,synthetic revision
434,FJI,ECCS,1963,2026-04-01,synthetic revision
435,FIN,ECCS,1963,2026-04-01,synthetic revision
436,FRA,ECCS,1963,2026-04-01,synthetic revision
437,PYF,ECCS,1963,2026-04-01,synthetic revision
438,GAB,ECCS,1963,2026-04-01,synthetic revision
439,GMB,ECCS,1963,2026-04-01,synthetic revision
440,DEU,ECCS,1963,2026-04-01,synthetic revision
441,GHA,ECCS,1963,2026-04-01,synthetic revision
442,GIB,ECCS,1963,2026-04-01,synthetic revision
443,GRC,ECCS,1963,2026-04-01,synthetic revision
444,GRL,ECCS,1963,2026-04-01,synthetic revision
445,GRD,ECCS,1963,2026-04-01,synthetic revision
446,GLP,ECCS,1963,2026-04-01,synthetic revision
447,GTM,ECCS,1963,2026-04-01,synthetic revision
448,GUF,ECCS,1963,2026-04-01,synthetic revision
449,GIN,ECCS,1963,2026-04-01,synthetic revision
450,GNB,ECCS,1963,2026-04-01,synthetic revision
451,GUY,ECCS,1963,2026-04-01,synthetic revision
452,HTI,ECCS,1963,2026-04-01,synthetic revision
453,VAT,ECCS,1963,2026-04-01,synthetic revision
454,HND,ECCS,1963,2026-04-01,synthetic revision
455,HUN,ECCS,1963,2026-04-01,synthetic revision
456,ISL,ECCS,1963,2026-04-01,synthetic revision
457,IND,ECCS,1963,2026-04-01,synthetic revision
458,IDN,ECCS,1963,2026-04-01,synthetic revision
459,IRN,ECCS,1963,2026-04-01,synthetic revision
460,IRQ,ECCS,1963,2026-04-01,synthetic revision
461,IRL,ECCS,1963,2026-04-01,synthetic revision
462,IMN,ECCS,1963,2026-04-01,synthetic revision
463,ISR,ECCS,1963,2026-04-01,synthetic revision
464,ITA,ECCS,1963,2026-04-01,synthetic revision
465,JAM,ECCS,1963,2026-04-01,synthetic revision
466,JPN,ECCS,1963,2026-04-01,synthetic revision
467,JOR,ECCS,1963,2026-04-01,synthetic revision
468,KEN,ECCS,1963,2026-04-01,synthetic revision
469,KIR,ECCS,1963,2026-04-01,synthetic revision
470,PRK,ECCS,1963,2026-04-01,synthetic revision
471,KOR,ECCS,1963,2026-04-01,synthetic revision
472,KWT,ECCS,1963,2026-04-01,synthetic revision
473,LAO,ECCS,1963,2026-04-01,synthetic revision
474,LBN,ECCS,1963,2026-04-01,synthetic revision
475,LSO,ECCS,1963,2026-04-01,synthetic revision
476,LBR,ECCS,1963,2026-04-01,synthetic revision
477,LBY,ECCS,1963,2026-04-01,synthetic revision
478,LIE,ECCS,1963,2026-04-01,synthetic revision
479,MDG,ECCS,1963,2026-04-01,synthetic revision
480,MWI,ECCS,1963,2026-04-01,synthetic revision
481,MYS,ECCS,1963,2026-04-01,synthetic revision
482,MLI,ECCS,1963,2026-04-01,synthetic revision
483,MLT,ECCS,1963,2026-04-01,synthetic revision
484,MTQ,ECCS,1963,2026-04-01,synthetic revision
485,MRT,ECCS,1963,2026-04-01,synthetic revision
486,MUS,ECCS,1963,2026-04-01,synthetic revision
487,MYT,ECCS,1963,2026-04-01,synthetic revision
488,MEX,ECCS,1963,2026-04-01,synthetic revision
489,MCO,ECCS,1963,2026-04-01,synthetic revision
490,MNG,ECCS,1963,2026-04-01,synthetic revision
491,MSR,ECCS,1963,2026-04-01,synthetic revision
492,MAR,ECCS,1963,2026-04-01,synthetic revision
493,MOZ,ECCS,1963,2026-04-01,synthetic revision
494,MMR,ECCS,1963,2026-04-01,synthetic revision
495,NPL,ECCS,1963,2026-04-01,synthetic revision
496,NLD,ECCS,1963,2026-04-01,synthetic revision
497,NCL,ECCS,1963,2026-04-01,synthetic revision
498,NZL,ECCS,1963,2026-04-01,synthetic revision
