CTSCode,IndicatorName,Unit,Source,CTSFullDescriptor
SYN_020,Surface Temperature Change Variant 4 Variant 20,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_021,Surface Temperature Change Variant 2 Variant 15 Variant 21,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_022,Surface Temperature Change Variant 2 Variant 6 Variant 18 Variant 22,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_023,Surface Temperature Change Variant 2 Variant 5 Variant 7 Variant 16 Variant 23,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_024,Surface Temperature Change Variant 2 Variant 6 Variant 9 Variant 24,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_025,Surface Temperature Change Variant 2 Variant 5 Variant 25,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_026,Surface Temperature Change Variant 4 Variant 20 Variant 26,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_027,Surface Temperature Change Variant 2 Variant 6 Variant 18 Variant 27,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_028,Surface Temperature Change Variant 2 Variant 5 Variant 7 Variant 16 Variant 28,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_029,Surface Temperature Change Variant 2 Variant 6 Variant 9 Variant 24 Variant 29,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_030,Surface Temperature Change Variant 2 Variant 6 Variant 9 Variant 24 Variant 29 Variant 30,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_031,Surface Temperature Change Variant 3 Variant 10 Variant 31,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_032,Surface Temperature Change Variant 32,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_033,Surface Temperature Change Variant 2 Variant 5 Variant 7 Variant 16 Variant 33,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_034,Surface Temperature Change Variant 2 Variant 5 Variant 25 Variant 34,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_035,Surface Temperature Change Variant 3 Variant 10 Variant 35,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_036,Surface Temperature Change Variant 4 Variant 20 Variant 26 Variant 36,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_037,Surface Temperature Change Variant 2 Variant 5 Variant 37,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_038,Surface Temperature Change Variant 2 Variant 15 Variant 21 Variant 38,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_039,Surface Temperature Change Variant 2 Variant 39,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_040,Surface Temperature Change Variant 2 Variant 6 Variant 18 Variant 22 Variant 40,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_041,Surface Temperature Change Variant 2 Variant 6 Variant 9 Variant 24 Variant 41,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_042,Surface Temperature Change Variant 2 Variant 15 Variant 21 Variant 38 Variant 42,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_043,Surface Temperature Change Variant 3 Variant 10 Variant 35 Variant 43,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_044,Surface Temperature Change Variant 2 Variant 5 Variant 7 Variant 16 Variant 23 Variant 44,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_045,Surface Temperature Change Variant 2 Variant 6 Variant 45,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_046,Surface Temperature Change Variant 3 Variant 10 Variant 17 Variant 46,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_047,Surface Temperature Change Variant 3 Variant 47,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_048,Surface Temperature Change Variant 3 Variant 10 Variant 35 Variant 43 Variant 48,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_049,Surface Temperature Change Variant 3 Variant 10 Variant 17 Variant 49,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_050,Surface Temperature Change Variant 2 Variant 6 Variant 9 Variant 24 Variant 50,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_051,Surface Temperature Change Variant 3 Variant 10 Variant 35 Variant 43 Variant 51,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_052,Surface Temperature Change Variant 2 Variant 5 Variant 7 Variant 16 Variant 23 Variant 44 Variant 52,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_053,Surface Temperature Change Variant 3 Variant 10 Variant 35 Variant 43 Variant 53,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_054,Surface Temperature Change Variant 2 Variant 5 Variant 7 Variant 16 Variant 54,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_055,Surface Temperature Change Variant 2 Variant 55,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_056,Surface Temperature Change Variant 2 Variant 6 Variant 18 Variant 22 Variant 56,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_057,Surface Temperature Change Variant 3 Variant 10 Variant 17 Variant 46 Variant 57,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_058,Surface Temperature Change Variant 2 Variant 5 Variant 7 Variant 16 Variant 28 Variant 58,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_059,Surface Temperature Change Variant 2 Variant 6 Variant 18 Variant 27 Variant 59,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_060,Surface Temperature Change Variant 2 Variant 15 Variant 21 Variant 60,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_061,Surface Temperature Change Variant 4 Variant 20 Variant 26 Variant 36 Variant 61,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_062,Surface Temperature Change Variant 3 Variant 10 Variant 17 Variant 62,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_063,Surface Temperature Change Variant 3 Variant 12 Variant 63,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_064,Surface Temperature Change Variant 3 Variant 10 Variant 35 Variant 43 Variant 64,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_065,Surface Temperature Change Variant 2 Variant 5 Variant 7 Variant 16 Variant 65,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_066,Surface Temperature Change Variant 4 Variant 20 Variant 26 Variant 66,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
SYN_067,Surface Temperature Change Variant 2 Variant 6 Variant 9 Variant 67,Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET.","Synthetic extension of Synthetic extension of Synthetic extension of Synthetic extension of Environment, Climate Change, Climate and Weather, Surface Temperature Change"
